question,answer,design_style
"In your own words, what should the redesigned room feel like?","I want handcrafted furniture, warm tones, and a nostalgic touch, with homey. It should feel inviting and clean.",rustic
How would you like the room to look after the redesign?,"I want a rough urban feel with steel, wodo, wodo, and bold bold fixtures, with unfinished, exposed brick. It should feel kinda fresh and well-organized.",industrial
How would you like the room to look after the redesign?,"I want raw concrete surfaces with exposed brick and metal, with exposed brick, iron. It should feel comfortable and well-organized!",industrial
What atmosphere and look are you aiming for in this room?,"really I want deep elegant colors with marble and solid wood, with timeless. It should feel fresh and balanced.",classic
"In your own words, what should the redesigned room feel like?","I want a homey rustic vibe with vintage details and warm light, with warm lighting, cozy. It should feel cozy and clean!",rustic
How would you like the room to look after the redesign?,"I want colorful accents, mixed styles, and an artsy relaxed feel, with mixed, patterns. It should feel comfortable and clean!",boho_chic
"In your own words, what should the redesigned room feel like?","I want decorative moldings with quality materials and a luxurious feel, with deep colors, moldings. It should feel fresh and well-organized.",classic
Tell me what the room should look and feel like once it's finished.,"I want ornate touches, refined finishes, and and a baalnced baalnced layout, with moldings. It should feel calm kinda and well-organized... well-organized...",classic
"In your own words, what should the redesigned room feel like?","I want deep elgeant elgeant colors with marble and solid wood, with wood, timeless, marble. It should kinda feel cozy and and relaxed!!",classic
"In your own words, what should the redesigned room feel like?","I want a calm neutral palette with soft rugs and cozy textiles, with soft textiles, airy, minimal. It should feel comfortable and well-organized!",scandinavian
How would you like the room to look after the redesign?,"I I want pael pael tones, honestly light oak, oak, and a a cozy minimalist minimalist vibe, with soft textiles. It feel feel fresh and relaxed...",scandinavian
What atmosphere and look are you aiming for in this room?,"I   want   light   wood   furniture,   white   walls,   and   a   a   minimal   layout,   layout,   with   light   wood,   like   cozy.   It   It   should   feel   feel   cozy   and   balanced.",scandinavian
What atmosphere and look are you aiming for in this room?,"I want natural wood with warm earthy colors and a cozy feeling, with handcrafted. It should feel fresh and clean",rustic
How would you like the room to look after the redesign?,"I want unfinished textures, visible pipes, and rugged lighting, with exposed brick, raw, unfinished. It should feel calm and balanced...",industrial
"In your own words, what should the redesigned room feel like?","I want traditional elegance with polished wood and classic proportions, with luxury, timeless. It should feel inviting and clean",classic
Tell me what the room should look and feel like once it's finished.,"I want light wood furniture, white walls, and a minimal layout, with neutral palette, light wood. It should feel fresh and relaxed!!",scandinavian
How would you like the room to look after the redesign?,"I I want a free-spirited boho vibe with ethnic ethnic textiles and greenery, with eclectic, rich colors, patterns. It should feel fresh and and well-organized",boho_chic
Tell me what the room should look and feel like once it's finished.,"I want industrial materials like concrete and iron with a gritty vibe, with loft, concrete, iron. It should feel comfortable and functional!",industrial
What atmosphere and look are you aiming for in this room?,"I want deep elegant colors with marble and solid wood, with rich details. It should feel fresh and well-organized.",classic
How would you like the room to look after the redesign?,"very I want light wood furniture, white walls, and a minimal layout, with soft textiles, neutral palette. It should feel calm and functional!",scandinavian
Tell me what the room should look and feel like once it's finished.,"pretty I want want natural wood wiht wiht warm earthy colors colors and cozy cozy feeling, with cozy. It shoudl shoudl feel inviting inviting and well-organized",rustic
"In your own words, what should the redesigned room feel like?","I want an airy, bright room with lots of natural light, with bright, neutral palette. It should feel comfortable and relaxed...",scandinavian
"In your own words, what should the redesigned room feel like?","want a a rough urban feel with with steel, steel, wood, wood, and and bold fixtuers, fixtuers, wiht wiht dark dark tones. It sohuld sohuld feel feel czoy czoy and balanced!! you know",industrial
Tell me what the room should look and feel like once it's finished.,"I want industrial materials like concrete and iron with a gritty vibe, with dark tones, exposed brick. It should feel fresh and well-organized!!",industrial
What atmosphere and look are you aiming for in this room?,"I want ornate touches, refined finishes, and a balanced layout, with ornate, marble, luxury. It should feel fresh and well-organized",classic
How would you like the room to look after the redesign?,"I want a timeless classic look with rich details and symmetry, with rich details, timeless, moldings. It should feel fresh and balanced...",classic
How would you like the room to look after the redesign?,"I want warm tones, cushions, and plants for a boho-chic look, with ethnic, rich colors, artsy. It should feel inviting and functional",boho_chic
How would you like the room to look after the redesign?,"I want deep elegant colors with marble and solid wood, with deep colors. It should feel fresh and clean...",classic
What atmosphere and look are you aiming for in this room?,"really I want a minimalist modern look with sharp geometric shapes, with minimal decor, functional. It should feel inviting and well-organized!",modern
"In your own words, what should the redesigned room feel like?","I want wram wram materials, natural finishes, and a welcoming atmosphere, with farmhouse. It should feel comfortable and and balanced.",rustic
Describe the style you want for the room after the makeover.,"I want clean lines with monochrome color scheme, with smooth surfaces, clean lines, functional. It should feel calm and balanced.",modern
Describe the style you want for the room after the makeover.,"I want industrial materials like concrete and iron with a gritty vibe, with iron. It should feel comfortable and clean!",industrial
Tell me what the room should look and feel like once it's finished.,"quite I want a calm neutral palette with soft rugs and cozy textiles, with minimal. It should feel calm and clean...",scandinavian
Describe the style you want for the room after the makeover.,"I want a calm neutral palette with soft rugs and cozy textiles, with soft textiles. It should feel comfortable and clean...",scandinavian
How would you like the room to look after the redesign?,"totally I want raw concrete surfaces with exposed brick and metal, with raw, dark tones. It should feel cozy and functional",industrial
Describe the style you want for the room after the makeover.,"super I want a rough urban feel with steel, wood, and bold fixtures, with unfinished, concrete. It should feel comfortable and well-organized!",industrial
Tell me what the room should look and feel like once it's finished.,"I want natural wood with warm earthy colors and a cozy feeling, with homey, vintage. It should feel comfortable and well-organized.",rustic
"In your own words, what should the redesigned room feel like?","very I watn watn framhouse-inspired framhouse-inspired comfort with wood textures and lighting, with earthy, natural wood, homey. It feel cozy and and relaxed!!",rustic
How would you like the room to look after the redesign?,"I want neutral tones, smooth surfaces, and practical furniture, with metal. It should feel cozy and well-organized.",modern
What atmosphere and look are you aiming for in this room?,"I want traditional elegance with polished wood and classic proportions, with marble, symmetry. It should feel cozy and relaxed!",classic
What atmosphere and look are you aiming for in this room?,"I want a calm neutrla neutrla palette with with soft rusg rusg and cozy textiles, with soft textiles, palette. It should feel fresh and relaxe.d relaxe.d",scandinavian
How would you like the room to look after the redesign?,"watn watn maybe a clutter-free space with crisp edges and smiple smiple wiht wiht geometric, claen claen lines, monocrhome. monocrhome. It should feel feel comfortable and functional!",modern
What atmosphere and look are you aiming for in this room?,"super I want traditional elegance with polished wood and classic proportions, with marble, rich details, elegant. It should feel cozy and relaxed...",classic
Describe the style you want for the room after the makeover.,"I want clean lines with a monochrome color scheme, with smooth surfaces, functional. It should feel fresh and balanced.",modern
How would you like the room to look after the redesign?,"I   want   simple   clean   liens,   liens,   uncluttered   surfaces,   wram   wram   light,   wtih   wtih   soft   textiles,   clean,   airy.   It   It   should   feel   coyz   coyz   and   realxed   realxed",scandinavian
Tell me what the room should look and feel like once it's finished.,"super I want warm tones, tones, cushions, and plants for a a with plants. It It should feel feel comfortable and well-organized...!",boho_chic
How would you like the room to look after the redesign?,"I want a loft-style room with with irno irno details and tones, with raw. It It should comfortable and relaxed!!",industrial
Describe the style you want for the room after the makeover.,"I want unfinished textures, visible pipes, and rugged lighting, with dark tones, concrete. It should feel fresh and well-organized...",industrial
Tell me what the room should look and feel like once it's finished.,"really I want decorative moldings moldings with quality and and a luxurious feel, with luxury, timeless, marble. It It should feel inviting and balanced",classic
What atmosphere and look are you aiming for in this room?,"pretty I want an air,y air,y bright room with lots of of natural light, wiht wiht simple, simple, nautral nautral light. It should feel comfortable balacned!! balacned!!",scandinavian
What atmosphere and look are you aiming for in this room?,"super I want a rough urban feel with steel, wood, and bold fixtures, with dark tones, loft, unfinished. It should feel calm and balanced!!",industrial
Tell me what the room should look and feel like once it's finished.,"I want want ornate touches, refined finishes, and and a blaanced blaanced layout, layout, with deep deep colors, luxury. luxury. It sholud sholud feel calm and and clean!... 🙂",classic
How would you like the room to look after the redesign?,"I want simple clean lines, uncluttered surfaces, and warm light, with clean. It should feel cozy and well-organized...",scandinavian
"In your own words, what should the redesigned room feel like?","I want neutral tones, smooth surfaces, and practical furniture, with glass, metal. It should feel calm and relaxed",modern
Tell me what the room should look and feel like once it's finished.,"I want an bright room with lots of natural light, maybe with soft soft textiles. It should feel cozy and well-organized!!",scandinavian
Describe the style you want for the room after the makeover.,"super I want neutral tones, smooth surfaces, and practical furniture, with smooth surfaces, functional. It should feel comfortable and clean",modern
What atmosphere and look are you aiming for in this room?,"pretty I want raw concrete surfaces with exposed brick and metal, with pipes, metal. It should feel fresh and relaxed!",industria
question,answer,design_style
Tell me how you imagine the room should feel.,"I want soft fabrics, pale tones, and simple furniture.",scandinavian
How would you like the room to look after the redesign?,I want timeless design with quality materials and refined finishes.,classic
Tell me how you imagine the room should feel.,"I want a rustik design, something like vintage furniture, earthy tones, and homey atmosphere.",rustic
Tell me how you imagine the room should feel.,"I want a moedrn design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,modern design,modern
What kind of design are you aiming for in this space?,"I want natural wood, warm colors, and a cozy farmhouse feeling.",rustic
What kind of design are you aiming for in this space?,"I want rich details, symmetry, deep colors, and elegant furniture.",classic
Describe what style you want for the room.,"I want a smooth surfaces with a minimalist and practical design, but I think it should be scandinavian style.",scandinavian
Describe what style you want for the room.,"I want a soft fabrics, pale tones, and simple furniture, but I think it should be industrial style.",industrial
How would you like the room to look after the redesign?,"I want a ethnic fabrics, greenery, and artistic relaxed feeling, but I think it should be modern style.",modern
Describe what style you want for the room.,I want industrial,industrial
How would you like the room to look after the redesign?,"I want soft fabrics, pale tones, and simple furniture.",scandinavian
How would you like the room to look after the redesign?,"I want a iron furniture, rugged lighting, and urban atmosphere, but I think it should be classic style.",classic
Tell me how you imagine the room should feel.,"I want vintage furniture, earthy tones, and homey atmosphere.",rustic
Tell me how you imagine the room should feel.,"I want a vintage furniture, earthy tones, and homey atmosphere, but I think it should be classic style.",classic
How would you like the room to look after the redesign?,industrial design,industrial
Describe what style you want for the room.,"I want monochrome colors, sleek furniture, and geometric shapes.",modern
What kind of design are you aiming for in this space?,"I want a wood textures with a welcoming rustic vibe, but I think it should be scandinavian style.",scandinavian
Tell me how you imagine the room should feel.,"I want eclectic mix of patterns, rugs, and handmade decor.",boho_chic
What kind of design are you aiming for in this space?,"I want neutral colors, clean lines, and an airy atmosphere.",scandinavian
How would you like the room to look after the redesign?,"I want a light wood furniture, white walls, cozy minimal feeling, but I think it should be boho_chic style.",boho_chic
How would you like the room to look after the redesign?,"I want colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
What kind of design are you aiming for in this space?,I want boho_chic,boho_chic
Describe what style you want for the room.,boho_chic room,boho_chic
How would you like the room to look after the redesign?,"I want layered textiles, lots of plants, and rich colors.",boho_chic
Describe what style you want for the room.,"I want a ethnic fabrics, greenery, and artistic relaxed feeling, but I think it should be modern style.",modern
What kind of design are you aiming for in this space?,"I want a clasic design, something like timeless design with quality materials and refined finishes.",classic
How would you like the room to look after the redesign?,"I want monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,rustic style,rustic
What kind of design are you aiming for in this space?,"I want ethnic fabrics, greenery, and artistic relaxed feeling.",boho_chic
What kind of design are you aiming for in this space?,"I want a clssic design, something like ornate decorations and balanced traditional layout.",classic
Tell me how you imagine the room should feel.,"I want a clean lines, glass and metal surfaces, functional layout, but I think it should be rustic style.",rustic
How would you like the room to look after the redesign?,I want timeless design with quality materials and refined finishes.,classic
What kind of design are you aiming for in this space?,"I want a bright room with lots of natural light and soft textiles, but I think it should be classic style.",classic
What kind of design are you aiming for in this space?,"I want a layered textiles, lots of plants, and rich colors, but I think it should be modern style.",modern
Describe what style you want for the room.,I want industrial,industrial
What kind of design are you aiming for in this space?,"I want a clasic design, something like timeless design with quality materials and refined finishes.",classic
Describe what style you want for the room.,"I want clean lines, glass and metal surfaces, functional layout.",modern
Describe what style you want for the room.,"I want a boho design, something like eclectic mix of patterns, rugs, and handmade decor.",boho_chic
Describe what style you want for the room.,modern style,modern
Describe what style you want for the room.,"I want a raw concrete, exposed brick, and dark metal elements, but I think it should be rustic style.",rustic
Describe what style you want for the room.,"I want a indutrial design, something like rough textures and bold industrial materials.",industrial
How would you like the room to look after the redesign?,modern room,modern
Tell me how you imagine the room should feel.,I want rough textures and bold industrial materials.,industrial
How would you like the room to look after the redesign?,"I want a indutrial design, something like rough textures and bold industrial materials.",industrial
How would you like the room to look after the redesign?,"I want neutral colors, clean lines, and an airy atmosphere.",scandinavian
Tell me how you imagine the room should feel.,"I want a colorful cushions, mixed styles, and warm boho atmosphere, but I think it should be classic style.",classic
Tell me how you imagine the room should feel.,"I want a light wood furniture, white walls, cozy minimal feeling, but I think it should be boho_chic style.",boho_chic
What kind of design are you aiming for in this space?,"I want a wood textures with a welcoming rustic vibe, but I think it should be modern style.",modern
How would you like the room to look after the redesign?,"I want a bohochic design, something like ethnic fabrics, greenery, and artistic relaxed feeling.",boho_chic
Tell me how you imagine the room should feel.,I want ornate decorations and balanced traditional layout.,classic
How would you like the room to look after the redesign?,"I want monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,rustic room,rustic
What kind of design are you aiming for in this space?,"I want unfinished surfaces, visible pipes, and loft-style layout.",industrial
Tell me how you imagine the room should feel.,"I want a rough textures and bold industrial materials, but I think it should be modern style.",modern
What kind of design are you aiming for in this space?,"I want colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
Tell me how you imagine the room should feel.,scandinavian design,scandinavian
Tell me how you imagine the room should feel.,"I want clean lines, glass and metal surfaces, functional layout.",modern
Describe what style you want for the room.,"I want a bright room with lots of natural light and soft textiles, but I think it should be classic style.",classic
What kind of design are you aiming for in this space?,industrial room,industrial
How would you like the room to look after the redesign?,boho_chic design,boho_chic
Tell me how you imagine the room should feel.,scandinavian room,scandinavian
Tell me how you imagine the room should feel.,"I want a boho-shik design, something like layered textiles, lots of plants, and rich colors.",boho_chic
Describe what style you want for the room.,"I want rich details, symmetry, deep colors, and elegant furniture.",classic
What kind of design are you aiming for in this space?,"I want a industria design, something like unfinished surfaces, visible pipes, and loft-style layout.",industrial
Tell me how you imagine the room should feel.,"I want a clasik design, something like ornate decorations and balanced traditional layout.",classic
What kind of design are you aiming for in this space?,"I want a rustik design, something like natural wood, warm colors, and a cozy farmhouse feeling.",rustic
What kind of design are you aiming for in this space?,"I want a smooth surfaces with a minimalist and practical design, but I think it should be rustic style.",rustic
What kind of design are you aiming for in this space?,"I want a unfinished surfaces, visible pipes, and loft-style layout, but I think it should be modern style.",modern
What kind of design are you aiming for in this space?,I want modern,modern
What kind of design are you aiming for in this space?,I want industrial,industrial
Tell me how you imagine the room should feel.,I want rough textures and bold industrial materials.,industrial
How would you like the room to look after the redesign?,"I want a indutrial design, something like unfinished surfaces, visible pipes, and loft-style layout.",industrial
How would you like the room to look after the redesign?,"I want a wood textures with a welcoming rustic vibe, but I think it should be modern style.",modern
Tell me how you imagine the room should feel.,"I want a marble surfaces, solid wood, and a luxurious atmosphere, but I think it should be boho_chic style.",boho_chic
Describe what style you want for the room.,rustic design,rustic
What kind of design are you aiming for in this space?,I want handcrafted details and nostalgic warm lighting.,rustic
Describe what style you want for the room.,"I want a marble surfaces, solid wood, and a luxurious atmosphere, but I think it should be industrial style.",industrial
Tell me how you imagine the room should feel.,modern style,modern
What kind of design are you aiming for in this space?,"I want a moedrn design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
Describe what style you want for the room.,"I want a rustik design, something like natural wood, warm colors, and a cozy farmhouse feeling.",rustic
Describe what style you want for the room.,classic design,classic
Describe what style you want for the room.,"I want a moedrn design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,"I want marble surfaces, solid wood, and a luxurious atmosphere.",classic
Tell me how you imagine the room should feel.,"I want a monochrome colors, sleek furniture, and geometric shapes, but I think it should be scandinavian style.",scandinavian
What kind of design are you aiming for in this space?,"I want a bright room with lots of natural light and soft textiles, but I think it should be industrial style.",industrial
Describe what style you want for the room.,I want wood textures with a welcoming rustic vibe.,rustic
Describe what style you want for the room.,"I want a modren design, something like sharp edges, neutral palette, and modern lighting.",modern
Tell me how you imagine the room should feel.,modern design,modern
What kind of design are you aiming for in this space?,"I want a rutsic design, something like wood textures with a welcoming rustic vibe.",rustic
Describe what style you want for the room.,"I want a monochrome colors, sleek furniture, and geometric shapes, but I think it should be boho_chic style.",boho_chic
What kind of design are you aiming for in this space?,"I want a eclectic mix of patterns, rugs, and handmade decor, but I think it should be classic style.",classic
Describe what style you want for the room.,"I want a natural wood, warm colors, and a cozy farmhouse feeling, but I think it should be modern style.",modern
Tell me how you imagine the room should feel.,"I want a sharp edges, neutral palette, and modern lighting, but I think it should be scandinavian style.",scandinavian
What kind of design are you aiming for in this space?,"I want a vintage furniture, earthy tones, and homey atmosphere, but I think it should be boho_chic style.",boho_chic
What kind of design are you aiming for in this space?,I want handcrafted details and nostalgic warm lighting.,rustic
Tell me how you imagine the room should feel.,"I want a clasik design, something like marble surfaces, solid wood, and a luxurious atmosphere.",classic
Describe what style you want for the room.,"I want a bright room with lots of natural light and soft textiles, but I think it should be rustic style.",rustic
Tell me how you imagine the room should feel.,industrial design,industrial
What kind of design are you aiming for in this space?,"I want a moedrn design, something like clean lines, glass and metal surfaces, functional layout.",modern
Tell me how you imagine the room should feel.,I want rough textures and bold industrial materials.,industrial
How would you like the room to look after the redesign?,"I want a ornate decorations and balanced traditional layout, but I think it should be boho_chic style.",boho_chic
What kind of design are you aiming for in this space?,I want modern,modern
What kind of design are you aiming for in this space?,I want scandinavian,scandinavian
How would you like the room to look after the redesign?,"I want a iron furniture, rugged lighting, and urban atmosphere, but I think it should be classic style.",classic
How would you like the room to look after the redesign?,"I want rich details, symmetry, deep colors, and elegant furniture.",classic
Tell me how you imagine the room should feel.,"I want a boho shik design, something like colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
Describe what style you want for the room.,"I want a monochrome colors, sleek furniture, and geometric shapes, but I think it should be industrial style.",industrial
Tell me how you imagine the room should feel.,"I want a unfinished surfaces, visible pipes, and loft-style layout, but I think it should be boho_chic style.",boho_chic
Describe what style you want for the room.,I want boho_chic,boho_chic
Describe what style you want for the room.,"I want a industrail design, something like iron furniture, rugged lighting, and urban atmosphere.",industrial
What kind of design are you aiming for in this space?,"I want unfinished surfaces, visible pipes, and loft-style layout.",industrial
Describe what style you want for the room.,"I want a smooth surfaces with a minimalist and practical design, but I think it should be industrial style.",industrial
Tell me how you imagine the room should feel.,I want rough textures and bold industrial materials.,industrial
What kind of design are you aiming for in this space?,"I want marble surfaces, solid wood, and a luxurious atmosphere.",classic
Tell me how you imagine the room should feel.,"I want a unfinished surfaces, visible pipes, and loft-style layout, but I think it should be scandinavian style.",scandinavian
Describe what style you want for the room.,"I want a monochrome colors, sleek furniture, and geometric shapes, but I think it should be industrial style.",industrial
Tell me how you imagine the room should feel.,modern room,modern
What kind of design are you aiming for in this space?,I want scandinavian,scandinavian
Tell me how you imagine the room should feel.,"I want a light wood furniture, white walls, cozy minimal feeling, but I think it should be boho_chic style.",boho_chic
What kind of design are you aiming for in this space?,"I want a boho design, something like ethnic fabrics, greenery, and artistic relaxed feeling.",boho_chic
What kind of design are you aiming for in this space?,"I want a modrn design, something like sharp edges, neutral palette, and modern lighting.",modern
How would you like the room to look after the redesign?,"I want vintage furniture, earthy tones, and homey atmosphere.",rustic
What kind of design are you aiming for in this space?,modern style,modern
What kind of design are you aiming for in this space?,"I want neutral colors, clean lines, and an airy atmosphere.",scandinavian
Describe what style you want for the room.,"I want a bright room with lots of natural light and soft textiles, but I think it should be modern style.",modern
What kind of design are you aiming for in this space?,I want scandinavian,scandinavian
Describe what style you want for the room.,"I want a boho shik design, something like eclectic mix of patterns, rugs, and handmade decor.",boho_chic
Describe what style you want for the room.,"I want a light wood furniture, white walls, cozy minimal feeling, but I think it should be rustic style.",rustic
Tell me how you imagine the room should feel.,"I want a boho shik design, something like ethnic fabrics, greenery, and artistic relaxed feeling.",boho_chic
What kind of design are you aiming for in this space?,"I want a modren design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,"I want a moedrn design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,classic design,classic
How would you like the room to look after the redesign?,"I want a boho design, something like colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
Tell me how you imagine the room should feel.,"I want eclectic mix of patterns, rugs, and handmade decor.",boho_chic
Describe what style you want for the room.,"I want a boho shik design, something like eclectic mix of patterns, rugs, and handmade decor.",boho_chic
Tell me how you imagine the room should feel.,"I want a ethnic fabrics, greenery, and artistic relaxed feeling, but I think it should be industrial style.",industrial
What kind of design are you aiming for in this space?,"I want a clssic design, something like timeless design with quality materials and refined finishes.",classic
Tell me how you imagine the room should feel.,"I want a wood textures with a welcoming rustic vibe, but I think it should be classic style.",classic
How would you like the room to look after the redesign?,"I want a sharp edges, neutral palette, and modern lighting, but I think it should be rustic style.",rustic
How would you like the room to look after the redesign?,"I want a boho shik design, something like colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
Describe what style you want for the room.,"I want a rich details, symmetry, deep colors, and elegant furniture, but I think it should be boho_chic style.",boho_chic
Describe what style you want for the room.,"I want a eclectic mix of patterns, rugs, and handmade decor, but I think it should be modern style.",modern
Describe what style you want for the room.,classic style,classic
What kind of design are you aiming for in this space?,rustic style,rustic
How would you like the room to look after the redesign?,"I want a marble surfaces, solid wood, and a luxurious atmosphere, but I think it should be scandinavian style.",scandinavian
What kind of design are you aiming for in this space?,"I want a scandinavin design, something like light wood furniture, white walls, cozy minimal feeling.",scandinavian
What kind of design are you aiming for in this space?,boho_chic design,boho_chic
Tell me how you imagine the room should feel.,rustic style,rustic
What kind of design are you aiming for in this space?,"I want a marble surfaces, solid wood, and a luxurious atmosphere, but I think it should be rustic style.",rustic
How would you like the room to look after the redesign?,"I want a handcrafted details and nostalgic warm lighting, but I think it should be classic style.",classic
How would you like the room to look after the redesign?,I want rough textures and bold industrial materials.,industrial
How would you like the room to look after the redesign?,scandinavian design,scandinavian
How would you like the room to look after the redesign?,"I want a unfinished surfaces, visible pipes, and loft-style layout, but I think it should be modern style.",modern
Describe what style you want for the room.,"I want a sharp edges, neutral palette, and modern lighting, but I think it should be classic style.",classic
How would you like the room to look after the redesign?,"I want light wood furniture, white walls, cozy minimal feeling.",scandinavian
Tell me how you imagine the room should feel.,"I want a sharp edges, neutral palette, and modern lighting, but I think it should be industrial style.",industrial
What kind of design are you aiming for in this space?,"I want a soft fabrics, pale tones, and simple furniture, but I think it should be boho_chic style.",boho_chic
What kind of design are you aiming for in this space?,"I want neutral colors, clean lines, and an airy atmosphere.",scandinavian
How would you like the room to look after the redesign?,"I want a unfinished surfaces, visible pipes, and loft-style layout, but I think it should be boho_chic style.",boho_chic
Describe what style you want for the room.,"I want a monochrome colors, sleek furniture, and geometric shapes, but I think it should be rustic style.",rustic
How would you like the room to look after the redesign?,"I want a moedrn design, something like smooth surfaces with a minimalist and practical design.",modern
Describe what style you want for the room.,"I want a smooth surfaces with a minimalist and practical design, but I think it should be scandinavian style.",scandinavian
Tell me how you imagine the room should feel.,"I want marble surfaces, solid wood, and a luxurious atmosphere.",classic
Tell me how you imagine the room should feel.,"I want natural wood, warm colors, and a cozy farmhouse feeling.",rustic
Tell me how you imagine the room should feel.,"I want colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
Tell me how you imagine the room should feel.,"I want a modrn design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
What kind of design are you aiming for in this space?,rustic design,rustic
How would you like the room to look after the redesign?,I want bright room with lots of natural light and soft textiles.,scandinavian
What kind of design are you aiming for in this space?,"I want a layered textiles, lots of plants, and rich colors, but I think it should be industrial style.",industrial
Describe what style you want for the room.,"I want a rustc design, something like vintage furniture, earthy tones, and homey atmosphere.",rustic
Describe what style you want for the room.,"I want a modrn design, something like clean lines, glass and metal surfaces, functional layout.",modern
How would you like the room to look after the redesign?,"I want iron furniture, rugged lighting, and urban atmosphere.",industrial
How would you like the room to look after the redesign?,"I want a rutsic design, something like wood textures with a welcoming rustic vibe.",rustic
How would you like the room to look after the redesign?,"I want a vintage furniture, earthy tones, and homey atmosphere, but I think it should be classic style.",classic
Tell me how you imagine the room should feel.,"I want a rutsic design, something like handcrafted details and nostalgic warm lighting.",rustic
Describe what style you want for the room.,"I want a handcrafted details and nostalgic warm lighting, but I think it should be modern style.",modern
How would you like the room to look after the redesign?,scandinavian style,scandinavian
What kind of design are you aiming for in this space?,"I want a handcrafted details and nostalgic warm lighting, but I think it should be industrial style.",industrial
Tell me how you imagine the room should feel.,"I want rich details, symmetry, deep colors, and elegant furniture.",classic
Describe what style you want for the room.,"I want a wood textures with a welcoming rustic vibe, but I think it should be industrial style.",industrial
What kind of design are you aiming for in this space?,I want smooth surfaces with a minimalist and practical design.,modern
Describe what style you want for the room.,"I want clean lines, glass and metal surfaces, functional layout.",modern
Tell me how you imagine the room should feel.,"I want a rustik design, something like handcrafted details and nostalgic warm lighting.",rustic
What kind of design are you aiming for in this space?,"I want a boho design, something like eclectic mix of patterns, rugs, and handmade decor.",boho_chic
How would you like the room to look after the redesign?,I want rustic,rustic
How would you like the room to look after the redesign?,"I want a industria design, something like iron furniture, rugged lighting, and urban atmosphere.",industrial
Describe what style you want for the room.,industrial design,industrial
Describe what style you want for the room.,"I want a ethnic fabrics, greenery, and artistic relaxed feeling, but I think it should be modern style.",modern
Tell me how you imagine the room should feel.,"I want a raw concrete, exposed brick, and dark metal elements, but I think it should be modern style.",modern
Tell me how you imagine the room should feel.,"I want a wood textures with a welcoming rustic vibe, but I think it should be industrial style.",industrial
How would you like the room to look after the redesign?,"I want a moedrn design, something like clean lines, glass and metal surfaces, functional layout.",modern
Describe what style you want for the room.,boho_chic room,boho_chic
Tell me how you imagine the room should feel.,"I want a modrn design, something like clean lines, glass and metal surfaces, functional layout.",modern
Describe what style you want for the room.,boho_chic style,boho_chic
How would you like the room to look after the redesign?,"I want a scandinavin design, something like light wood furniture, white walls, cozy minimal feeling.",scandinavian
How would you like the room to look after the redesign?,"I want a vintage furniture, earthy tones, and homey atmosphere, but I think it should be industrial style.",industrial
Describe what style you want for the room.,"I want light wood furniture, white walls, cozy minimal feeling.",scandinavian
How would you like the room to look after the redesign?,"I want clean lines, glass and metal surfaces, functional layout.",modern
What kind of design are you aiming for in this space?,I want modern,modern
What kind of design are you aiming for in this space?,modern design,modern
Tell me how you imagine the room should feel.,"I want a handcrafted details and nostalgic warm lighting, but I think it should be scandinavian style.",scandinavian
How would you like the room to look after the redesign?,"I want a monochrome colors, sleek furniture, and geometric shapes, but I think it should be boho_chic style.",boho_chic
Describe what style you want for the room.,classic design,classic
Describe what style you want for the room.,"I want a industrail design, something like rough textures and bold industrial materials.",industrial
What kind of design are you aiming for in this space?,"I want a rustik design, something like natural wood, warm colors, and a cozy farmhouse feeling.",rustic
What kind of design are you aiming for in this space?,"I want a modren design, something like monochrome colors, sleek furniture, and geometric shapes.",modern
How would you like the room to look after the redesign?,"I want a rough textures and bold industrial materials, but I think it should be classic style.",classic
What kind of design are you aiming for in this space?,"I want colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
Describe what style you want for the room.,"I want a natural wood, warm colors, and a cozy farmhouse feeling, but I think it should be industrial style.",industrial
What kind of design are you aiming for in this space?,"I want a rustik design, something like vintage furniture, earthy tones, and homey atmosphere.",rustic
How would you like the room to look after the redesign?,"I want a eclectic mix of patterns, rugs, and handmade decor, but I think it should be modern style.",modern
Tell me how you imagine the room should feel.,I want modern,modern
Describe what style you want for the room.,"I want layered textiles, lots of plants, and rich colors.",boho_chic
Tell me how you imagine the room should feel.,classic design,classic
Tell me how you imagine the room should feel.,scandinavian room,scandinavian
Tell me how you imagine the room should feel.,"I want a boho shik design, something like colorful cushions, mixed styles, and warm boho atmosphere.",boho_chic
